company_code,company_name,check_type,snapshot_time,pdf_page,股权结构口径,上一时点股本/持股数(万股),上一时点出资额(万元注册资本),本次认缴/变化(万股),预期变更后股本/持股数(万股),PDF披露变更后股本/持股数(万股),差额(万股),status,notes
301563,云汉芯城,认缴流量数值与认购方核对,2020-09-23,64.0,认购方：郦韩英（受让自曾烨）,,,48.4495,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
301563,云汉芯城,认缴流量数值与认购方核对,2020-09-23,64.0,认购方：福建开京（受让自刘云锋）,,,11.628,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
301563,云汉芯城,认缴流量数值与认购方核对,2020-09-23,64.0,认购方：沈笑彦（受让自刘云锋）,,,8.5,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
301563,云汉芯城,认缴流量数值与认购方核对,2020-09-23,64.0,认购方：衣嘉平（受让自刘云锋）,,,8.5,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
301563,云汉芯城,认缴流量数值与认购方核对,2020-09-23,64.0,认购方：余满芬（受让自刘云锋）,,,8.5,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
301563,云汉芯城,认缴流量数值与认购方核对,2020-09-23,64.0,认购方：崔振南（受让自刘云锋）,,,3.876,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
301563,云汉芯城,认缴流量数值与认购方核对,2020-09-23,64.0,认购方：湘裕君源（受让自刘云锋）,,,8.5,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
301563,云汉芯城,认缴流量数值与认购方核对,2020-09-23,64.0,认购方：湘裕君源（受让自李文发）,,,5.0,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
301563,云汉芯城,认缴流量数值与认购方核对,2020-09-23,64.0,认购方：湘裕君源（受让自秦国君）,,,15.0,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
301581,黄山谷捷,认缴流量数值与认购方核对,2021-04-03,42.0,认购方：黄山供销集团（受让自昆山谷捷）,,,780.0,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
301581,黄山谷捷,认缴流量数值与认购方核对,2021-04-03,42.0,认购方：张俊武（受让自昆山谷捷）,,,110.0,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
301581,黄山谷捷,认缴流量数值与认购方核对,2021-04-03,42.0,认购方：周斌（受让自昆山谷捷）,,,110.0,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
301581,黄山谷捷,认缴流量数值与认购方核对,2021-09-18,44.0,认购方：赛格高技术,,,462.8571,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
301581,黄山谷捷,认缴流量数值与认购方核对,2021-09-18,44.0,认购方：上汽科技,,,51.4286,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
301581,黄山谷捷,认缴流量数值与认购方核对,2022-05-24,60.0,认购方：黄山佳捷,,,90.2256,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
603418,友升股份,认缴流量数值与认购方核对,2020-09-27,44.0,认购方：金浦临港基金,,,840.0,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
603418,友升股份,认缴流量数值与认购方核对,2020-09-27,44.0,认购方：金浦科创基金,,,360.0,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
